UniProtKBID	EntrezGeneID	GeneSymbol	Domain	ProteinFamilies
P57796	57010	CABP4	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4	
O60218	57016	AK1BA		Aldo/keto reductase family
O75208	57017	COQ9		COQ9 family
Q9UK58	57018	CCNL1		Cyclin family, Cyclin L subfamily
Q6FI81	57019	CPIN1		Anamorsin family
Q7Z3J2	57020	VP35L		VPS35L family
Q96GD0	57026	PLPP		HAD-like hydrolase superfamily
Q9P2U7	57030	VGLU1		Major facilitator superfamily, Sodium/anion cotransporter family, VGLUT subfamily
Q9BUV0	57035	RSRP1		RSRP family
Q8IV38	57037	ANKY2		
Q5T160	57038	SYRM		Class-I aminoacyl-tRNA synthetase family
Q9GZX9	57045	TWSG1		Twisted gastrulation protein family
Q9NRY7	57047	PLS2		Phospholipid scramblase family
Q9NRY6	57048	PLS3		Phospholipid scramblase family
Q9NQZ2	57050	SAS10		SAS10 family
Q9NR90	57054	DAZ3	RRM;DAZ 1;DAZ 2;DAZ 3;DAZ 4;DAZ 5;DAZ 6;DAZ 7;DAZ 8;DAZ 9;DAZ 10;DAZ 11;DAZ 12	RRM DAZ family
Q13117	57055	DAZ2	RRM;DAZ 1;DAZ 2;DAZ 3;DAZ 4;DAZ 5;DAZ 6;DAZ 7;DAZ 8;DAZ 9;DAZ 10;DAZ 11;DAZ 12;DAZ 13;DAZ 14;DAZ 15	RRM DAZ family
Q9UMR3	57057	TBX20		
P57723	57060	PCBP4	KH 1;KH 2;KH 3	
Q9GZR7	57062	DDX24	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DDX24/MAK5 subfamily
Q8NG31	57082	KNL1		
Q6RW13	57085	ATRAP		
Q9NRQ2	57088	PLS4		Phospholipid scramblase family
Q9NQ75	57091	CASS4	SH3	CAS family
Q8WW12	57092	PCNP		
P0CI25	57093	TRI49	B30.2/SPRY	TRIM/RBCC family
Q9GZP4	57095	PITH1	PITH	PITHD1 family
Q96KN7	57096	RPGR1	C2	RPGRIP1 family
Q9NR21	57097	PAR11	WWE;PARP catalytic	
Q9NQS1	57099	AVEN		
Q9NQ90	57101	ANO2		Anoctamin family
Q9NQ89	57102	CL004		
Q96AD5	57104	PLPL2	PNPLA	
Q9NS75	57105	CLTR2		G-protein coupled receptor 1 family
Q8WUY8	57106	NAT14	N-acetyltransferase	Camello family
Q9GZR2	57109	REXO4	Exonuclease	REXO4 family
Q9HDD0	57110	PLAT1		H-rev107 family
P57735	57111	RAB25		Small GTPase superfamily, Rab family
Q9HCX4	57113	TRPC7		Transient receptor (TC 1.A.4) family, STrpC subfamily, TRPC7 sub-subfamily
Q8IW36	57116	ZN695	KRAB	
Q96CB8	57117	INT12		Integrator subunit 12 family
Q8IU85	57118	KCC1D	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily
O95925	57119	EPPI	WAP;BPTI/Kunitz inhibitor	
Q9HD26	57120	GOPC	PDZ	
P57740	57122	NU107		Nucleoporin Nup84/Nup107 family
Q9HCU0	57124	CD248	C-type lectin;Sushi;EGF-lik	
Q8IUK5	57125	PLDX1		Plexin family
Q8N6Q3	57126	CD177	UPAR/Ly6 1;UPAR/Ly6 2	
Q9H310	57127	RHBG		Ammonium transporter (TC 2.A.49) family, Rh subfamily
Q9HD34	57128	LYRM4		Complex I LYR family
Q9HD33	57129	RM47		Universal ribosomal protein uL29 family
Q9HD20	57130	AT131		Cation transport ATPase (P-type) (TC 3.A.3) family, Type V subfamily
Q7LBR1	57132	CHM1B		SNF7 family
Q9NR34	57134	MA1C1		Glycosyl hydrolase 47 family
Q86SG3	57135	DAZ4	RRM 1;RRM 2;DAZ 1;DAZ 2;DAZ 3;DAZ 4;DAZ 5;DAZ 6;DAZ 7;DAZ 8;DAZ 9	RRM DAZ family
Q9HDC9	57136	APMAP		Strictosidine synthase family
Q3MIN7	57139	RGL3	N-terminal Ras-GEF;Ras-GEF;Ras-associating	
Q9HAU8	57140	RNPL1		Peptidase M1 family
Q9NQC3	57142	RTN4	Reticulon	
Q86TW2	57143	ADCK1	Protein kinase	Protein kinase superfamily, ADCK protein kinase family
Q9P286	57144	PAK5	CRIB;Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily
Q96B96	57146	LDAF1		LDAF1 family
Q8IZE3	57147	PACE1	Protein kinase	Protein kinase superfamily
Q86X10	57148	RLGPB	Rap-GAP	
O43325	57149	LYRM1		Complex I LYR family
Q8IWA5	57153	CTL2		CTL (choline transporter-like) family
Q9HCE7	57154	SMUF1	C2;WW 1;WW 2;HECT	
Q8N3S3	57157	PHTF2		
Q9BR39	57158	JPH2		Junctophilin family
Q9BYV2	57159	TRI54	COS	
Q9HAT8	57161	PELI2	FH	Pellino family
Q96FA3	57162	PELI1	FH	Pellino family
Q5T442	57165	CXG2		Connexin family, Gamma-type subfamily
Q9UJQ4	57167	SALL4		Sal C2H2-type zinc-finger protein family
Q9P2E3	57169	ZNFX1		
Q86YN1	57171	DOPP1		Dolichyldiphosphatase family
Q96NX5	57172	KCC1G	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, CaMK subfamily
Q9BR76	57175	COR1B		WD repeat coronin family
Q5ST30	57176	SYVM		Class-I aminoacyl-tRNA synthetase family
Q9ULJ6	57178	ZMIZ1		
Q96A73	57179	P33MX		P33MONOX family
Q9P1U1	57180	ARP3B		Actin family, ARP3 subfamily
Q9ULF5	57181	S39AA		ZIP transporter (TC 2.A.5) family
Q9ULJ7	57182	ANR50		
Q6P499	57185	NPAL3		NIPA family
Q2PPJ7	57186	RGPA2	Rap-GAP	
Q8NI27	57187	THOC2		THOC2 family
P82987	57188	ATL3	TSP type-1 1;TSP type-1 2;TSP type-1 3;TSP type-1 4;TSP type-1 5;TSP type-1 6;TSP type-1 7;Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;TSP type-1 8;TSP type-1 9;TSP type-1 10;PLAC	
A4D1U4	57189	DEN11	uDENN;cDENN;dDENN	DENND11 family
Q9NZV5	57190	SELN	EF-hand	
Q9GZU1	57192	MCLN1		Transient receptor (TC 1.A.4) family, Polycystin subfamily, MCOLN1 sub-subfamily
P98198	57198	AT8B2		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily
Q9P241	57205	AT10D		Cation transport ATPase (P-type) (TC 3.A.3) family, Type IV subfamily
Q8NDW4	57209	ZN248	KRAB	Krueppel C2H2-type zinc-finger protein family
Q5BKX6	57210	S45A4		Glycoside-pentoside-hexuronide (GPH) cation symporter transporter (TC 2.A.2) family
Q86SQ4	57211	AGRG6	CUB;Pentraxin (PTX);GPS	G-protein coupled receptor 2 family, Adhesion G-protein coupled receptor (ADGR) subfamily
Q5W111	57213	SPRY7	B30.2/SPRY	
Q8WUJ3	57214	CEMIP	G8	CEMIP family
Q96EK4	57215	THA11		THAP11 family
Q9ULK5	57216	VANG2		Vang family
Q9ULT0	57217	TTC7A		
Q5TH69	57221	BIG3	SEC7	
Q969X5	57222	ERGI1		ERGIC family
Q5MIZ7	57223	P4R3B	WH1	SMEK family
Q9NU23	57226	LYRM2		Complex I LYR family
Q0VAQ4	57228	SMAGP		SMAGP family
Q9Y5W7	57231	SNX14	PXA;RGS;PX	Sorting nexin family
Q6U841	57282	S4A10		Anion exchanger (TC 2.A.31) family
Q8N109	57292	KI2LA	Ig-like C2-type 1;Ig-like C2-type 2	Immunoglobulin superfamily
Q9H8E8	57325	CSR2B	N-acetyltransferase	
Q96AQ6	57326	PBIP1		
Q9HC52	57332	CBX8	Chromo	
Q96D15	57333	RCN3	EF-hand 1;EF-hand 2;EF-hand 3;EF-hand 4;EF-hand 5;EF-hand 6	CREC family
Q9HBT8	57335	Z286A	KRAB	Krueppel C2H2-type zinc-finger protein family
Q9HBT7	57336	ZN287	SCAN box;KRAB	Krueppel C2H2-type zinc-finger protein family
Q9BQF6	57337	SENP7		Peptidase C48 family
Q8WXH2	57338	JPH3		Junctophilin family
Q9H313	57348	TTYH1		Tweety family
Q9GZX7	57379	AICDA	CMP/dCMP-type deaminase	Cytidine and deoxycytidylate deaminase family
Q9HD23	57380	MRS2		CorA metal ion transporter (MIT) (TC 1.A.35) family
Q9H4E5	57381	RHOJ		Small GTPase superfamily, Rho family
Q9HBJ8	57393	CLTRN		CLTRN family
Q9HAZ1	57396	CLK4	Protein kinase	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, Lammer subfamily
Q9HCY8	57402	S10AE	EF-hand	S-100 family
Q9UL26	57403	RB22A		Small GTPase superfamily, Rab family
Q6UW02	57404	CP20A		Cytochrome P450 family
Q9HBM1	57405	SPC25		SPC25 family
Q9BV23	57406	ABHD6	AB hydrolase-1	AB hydrolase superfamily
Q9HBL8	57407	NMRL1		NmrA-type oxidoreductase family
A9UHW6	57409	MI4GD	MIF4G	MIF4GD family
Q96KG9	57410	SCYL1	Protein kinase	Protein kinase superfamily
Q9HBK9	57412	AS3MT		Methyltransferase superfamily, Arsenite methyltransferase family
Q6NTF9	57414	RHBD2		Peptidase S54 family
Q9HBI5	57415	CC014		
Q9BV38	57418	WDR18		WD repeat IPI3/WDR18 family
Q9UGV2	57446	NDRG3		NDRG family
Q9UN36	57447	NDRG2		NDRG family
Q9NR09	57448	BIRC6		Ubiquitin-conjugating enzyme family
O94827	57449	PKHG5	DH;PH	
Q9NT68	57451	TEN2	Teneurin N-terminal;EGF-like 1;EGF-like 2;EGF-like 3;EGF-like 4;EGF-like 5;EGF-like 6;EGF-like 7;EGF-like 8	Tenascin family, Teneurin subfamily
Q8TD84	57453	DSCL1	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Ig-like C2-type 5;Ig-like C2-type 6;Ig-like C2-type 7;Ig-like C2-type 8;Ig-like C2-type 9;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Ig-like C2-type 10;Fibronectin type-III 5;Fibronectin type-III 6	
Q8N1G1	57455	REXO1	Exonuclease	REXO1/REXO3 family
Q96AT1	57456	K1143		
Q9ULS5	57458	TMCC3		TEX28 family
Q8WXI9	57459	P66B		
Q9ULR3	57460	PPM1H	PPM-type phosphatase	PP2C family
Q9ULR0	57461	ISY1		ISY1 family
Q6NSJ0	57462	MYORG		Glycosyl hydrolase 31 family
Q86WK6	57463	AMGO1	LRRNT;LRRCT;Ig-like C2-type	Immunoglobulin superfamily, AMIGO family
Q9ULQ0	57464	STRP2		STRIP family
Q9ULP9	57465	TBC24	Rab-GAP TBC;TLDc	
O95104	57466	SCAF4	CID;RRM	
Q9HCP6	57467	HHATL		Membrane-bound acyltransferase family, HHAT subfamily
Q9H2X9	57468	S12A5		SLC12A transporter family
Q9ULN7	57469	PNM8B		PNMA family
Q8N1G4	57470	LRC47		
Q8TAM6	57471	ERMIN		
Q96KM6	57473	Z512B		Krueppel C2H2-type zinc-finger protein family
Q9ULM2	57474	ZN490	KRAB	Krueppel C2H2-type zinc-finger protein family
Q9ULM0	57475	PKHH1	PH 1;PH 2;MyTH4;FERM	
Q70CQ4	57478	UBP31	USP	Peptidase C19 family
Q9ULL5	57479	PRR12		
Q9ULL1	57480	PKHG1	DH;PH	
Q6ZU35	57482	CRACD		
Q9ULK6	57484	RN150	PA	
Q9BYT8	57486	NEUL		Peptidase M3 family
A0FGR8	57488	ESYT2	SMP-LTD;C2 1;C2 2;C2 3	Extended synaptotagmin family
Q9ULJ1	57489	ODF2L		ODF2 family
A9YTQ3	57491	AHRR	bHLH;PAS	
Q8NFD5	57492	ARI1B	ARID	
Q9ULI3	57493	HEG1	EGF-like 1;EGF-like	
Q9ULI2	57494	RIMKB	ATP-grasp	RimK family
Q9ULH7	57496	MRTFB	SAP	
Q9ULH0	57498	KDIS	KAP NTPase	
Q8N0W4	57502	NLGNX		Type-B carboxylesterase/lipase family
Q9BTC8	57504	MTA3	BAH;ELM2;SANT	
Q5JTZ9	57505	SYAM		Class-II aminoacyl-tRNA synthetase family
Q7Z434	57506	MAVS	CARD	
Q9ULD9	57507	ZN608		
Q9H0H0	57508	INT2		Integrator subunit 2 family
Q9ULD2	57509	MTUS1		MTUS1 family
Q9HAV4	57510	XPO5		Exportin family
Q9Y2V7	57511	COG6		COG6 family
Q5T848	57512	GP158		G-protein coupled receptor 3 family
Q8WXE0	57513	CSKI2	SH3;SAM 1;SAM 2	
Q2M1Z3	57514	RHG31	Rho-GAP	
Q9NRX5	57515	SERC1		TDE1 family
Q9P2P6	57519	STAR9	Kinesin motor;FHA;START	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
Q9P2P5	57520	HECW2	C2;WW 1;WW 2;HECT	
Q8N122	57521	RPTOR		WD repeat RAPTOR family
Q7Z6B7	57522	SRGP1	F-BAR;Rho-GAP;SH3	
Q9P2P1	57523	NYNRI	Integrase catalytic	
Q8WXD9	57524	CSKI1	SH3;SAM 1;SAM 2	
Q8TAB3	57526	PCD19	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5;Cadherin 6	
Q68DU8	57528	KCD16	BTB	
Q8NET4	57529	RTL9		
Q9P2M7	57530	CING		Cingulin family
Q8IYU2	57531	HACE1	HECT	
Q7Z417	57532	NUFP2		
Q9P2M4	57533	TBC14	Rab-GAP TBC	
Q86YT6	57534	MIB1	MIB/HERC2 1;MIB/HERC2 2	
Q86T90	57536	K1328		
Q96PQ0	57537	SORC2	PKD	VPS10-related sortilin family, SORCS subfamily
Q96L96	57538	ALPK3	Ig-like 1;Ig-like 2;Alpha-type protein kinase	Protein kinase superfamily, Alpha-type protein kinase family, ALPK subfamily
Q9P2L0	57539	WDR35		
Q9P2K9	57540	DISP3	SSD	Patched family
Q8TD17	57541	ZN398	KRAB	Krueppel C2H2-type zinc-finger protein family
Q9P2K6	57542	KLH42	BTB	
Q9P2K2	57544	TXD16	Thioredoxin	
Q9P2K1	57545	C2D2A	C2	
Q9P2J9	57546	PDP2	PPM-type phosphatase	PP2C family
Q9P2J8	57547	ZN624	KRAB	Krueppel C2H2-type zinc-finger protein family
Q9P2J2	57549	TUTLA	Ig-like 1;Ig-like 2;Ig-like 3;Ig-like 4;Ig-like 5;Fibronectin type-III 1;Fibronectin type-III 2	Immunoglobulin superfamily, Turtle family
Q7L7X3	57551	TAOK1	Protein kinase	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily
Q6PIU2	57552	NCEH1		'GDXG' lipolytic enzyme family
Q7RTP6	57553	MICA3	Calponin-homology (CH);LIM zinc-binding;bMERB	Mical family
Q8NFZ4	57555	NLGN2		Type-B carboxylesterase/lipase family
Q9H2E6	57556	SEM6A	Sema	Semaphorin family
Q9P2H5	57558	UBP35	USP	Peptidase C19 family
Q96FJ0	57559	STALP	MPN	Peptidase M67C family
Q9P2H3	57560	IFT80		
Q96B67	57561	ARRD3		Arrestin family
Q9P2H0	57562	CE126		
Q9P2G9	57563	KLHL8	BTB;BACK	
Q9P2G3	57565	KLH14	BTB;BACK	
Q9P2F9	57567	ZN319		Krueppel C2H2-type zinc-finger protein family
Q9P2F8	57568	SI1L2	Rap-GAP;PDZ	
Q9P2F6	57569	RHG20	PH;Ras-associating;Rho-GAP	
Q32P41	57570	TRM5		Class I-like SAM-binding methyltransferase superfamily, TRM5/TYW2 family
A5YM72	57571	CRNS1	ATP-grasp	
Q96HP0	57572	DOCK6	C2 DOCK-type;DOCKER	DOCK family
Q9BX82	57573	ZN471	KRAB	Krueppel C2H2-type zinc-finger protein family
Q9P2E8	57574	MARH4		
Q9P2E7	57575	PCD10	Cadherin 1;Cadherin 2;Cadherin 3;Cadherin 4;Cadherin 5;Cadherin 6	
Q9P2E2	57576	KIF17	Kinesin motor	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family
Q8NCU4	57577	CC191		
Q9P2D8	57578	UNC79		Unc-79 family
Q9P2D6	57579	F135A		FAM135 family
Q8TCU6	57580	PREX1	DH;PH;DEP 1;DEP 2;PDZ	
Q5T5U3	57584	RHG21	PDZ;PH;Rho-GAP	
Q96RY5	57585	CRML	SANT	Cramped family
Q7L8C5	57586	SYT13	C2 1;C2 2	Synaptotagmin family
Q9P2B7	57587	CFA97		CFAP97 family
Q4ADV7	57589	RIC1		RIC1 family
Q969V6	57591	MRTFA	SAP	
Q8N1G0	57592	ZN687		Krueppel C2H2-type zinc-finger protein family
Q9BQW3	57593	COE4	IPT/TIG	COE family
Q8IX15	57594	HOMEZ		
Q76G19	57595	PDZD4	PDZ	
Q9BUH8	57596	BEGIN		
Q9P281	57597	BAHC1	BAH	
Q8TAF3	57599	WDR48		WD repeat WDR48 family
Q9P278	57600	FNIP2	uDENN FNIP1/2-type;cDENN FNIP1/2-type;dDENN FNIP1/2-type	FNIP family
Q9P275	57602	UBP36	USP	Peptidase C19 family
Q9BZ72	57605	PITM2	DDHD	PtdIns transfer protein family, PI transfer class IIA subfamily
Q9P270	57606	SLAI2		SLAIN motif-containing family
Q9P266	57608	JCAD		
Q9P265	57609	DIP2B	DMAP1-binding	DIP2 family
Q6VN20	57610	RBP10	B30.2/SPRY;LisH;CTLH	RANBP9/10 family
A2RU67	57613	F234B		FAM234 family
Q9P260	57614	RELCH	LisH	
Q9P255	57615	ZN492	KRAB	Krueppel C2H2-type zinc-finger protein family
Q63HK5	57616	TSH3		Teashirt C2H2-type zinc-finger protein family
Q9P253	57617	VPS18		VPS18 family
Q8TF72	57619	SHRM3	PDZ;ASD1;ASD2	Shroom family
Q9P246	57620	STIM2	EF-hand;SAM	
Q8N680	57621	ZBTB2	BTB	
Q9P244	57622	LRFN1	LRRNT;LRRCT;Ig-like;Fibronectin type-III	LRFN family
Q9P243	57623	ZFAT		
Q9P242	57624	NYAP2		NYAP family
Q9NR64	57626	KLHL1	BTB	
Q8N608	57628	DPP10		Peptidase S9B family, DPPIV subfamily
Q7Z6J0	57630	SH3R1	SH3 1;SH3 2;SH3 3;SH3 4	SH3RF family
Q5VUJ6	57631	LRCH2	Calponin-homology (CH)	
Q6UXK5	57633	LRRN1	LRRNT;LRRCT;Ig-like C2-type;Fibronectin type-III	
Q96L91	57634	EP400	HSA;Helicase ATP-binding;Helicase C-terminal;Myb-like	SNF2/RAD54 helicase family, SWR1 subfamily
Q9P227	57636	RHG23	PDZ;PH;Rho-GAP	
Q8IYE0	57639	CC146		
Q9P218	57642	COKA1	Fibronectin type-III 1;VWFA;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5;Fibronectin type-III 6;Laminin G-like;Collagen-like 1;Collagen-like 2	
A7E2Y1	57644	MYH7B	Myosin N-terminal SH3-like;Myosin motor;IQ	TRAFAC class myosin-kinesin ATPase superfamily, Myosin family
Q9P215	57645	POGK	KRAB;HTH CENPB-type;DDE-1	
Q96RU2	57646	UBP28	UIM;USP	Peptidase C19 family, USP28 subfamily
Q8IY37	57647	DHX37	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DEAH subfamily
Q9P206	57648	K1522		
Q96QT6	57649	PHF12	FHA	
Q8TCG1	57650	CIP2A		
Q2YD98	57654	UVSSA		UVSSA family
Q96CP6	57655	ASTRA	GRAM;VASt	
Q9P1Z3	57657	HCN3		Potassium channel HCN family
Q9P1Z2	57658	CACO1		CALCOCO family
Q9P1Z0	57659	ZBTB4	BTB	
Q9P1Y6	57661	PHRF1		
Q9P1Y5	57662	CAMP3	Calponin-homology (CH);CKK	CAMSAP1 family
Q9HBJ7	57663	UBP29	USP	Peptidase C19 family
Q9H4M7	57664	PKHA4	PH	
Q9HBH5	57665	RDH14		Short-chain dehydrogenases/reductases (SDR) family
Q9HCM7	57666	FBSL		AUTS2 family
Q9HCM4	57669	E41L5	FERM	
Q9HCM3	57670	K1549		UPF0606 family
Q5T5X7	57673	BEND3	BEN 1;BEN 2;BEN 3;BEN 4	
Q63HN8	57674	RN213		AAA ATPase family
Q9HCL3	57677	ZFP14	KRAB	Krueppel C2H2-type zinc-finger protein family
Q9HCL2	57678	GPAT1		GPAT/DAPAT family
Q96Q42	57679	ALS2	DH;PH;VPS9	
Q9HCK8	57680	CHD8	Chromo 1;Chromo 2;Helicase ATP-binding;Helicase C-terminal	SNF2/RAD54 helicase family, CHD8 subfamily
Q9HCK1	57683	ZDBF2		
Q9HCK0	57684	ZBT26	BTB	
Q5VU97	57685	CAHD1	VWFA;Cache 1;Cache 2	Calcium channel subunit alpha-2/delta family
Q9HCJ6	57687	VAT1L		Zinc-containing alcohol dehydrogenase family, Quinone oxidoreductase subfamily
Q9HCJ5	57688	ZSWM6		
Q9HCJ2	57689	LRC4C	LRRNT;LRRCT;Ig-like C2-type	
Q9HCJ0	57690	TNR6C	UBA;RRM	GW182 family
Q9HCI6	57691	K1586		
Q9HCI5	57692	MAGE1	MAGE 1;MAGE 2	
Q96PQ6	57693	ZN317	KRAB	Krueppel C2H2-type zinc-finger protein family
Q86T82	57695	UBP37	USP;UIM 1;UIM 2;UIM 3	Peptidase C19 family
Q8NHQ9	57696	DDX55	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DDX55/SPB4 subfamily
Q8IYD8	57697	FANCM	Helicase ATP-binding;Helicase C-terminal	DEAD box helicase family, DEAH subfamily, FANCM sub-subfamily
A0MZ66	57698	SHOT1		Shootin family
Q9HCH3	57699	CPNE5	C2 1;C2 2;VWFA	Copine family
Q5W0V3	57700	F16B1		UPF0518 family
Q9HCH0	57701	NCK5L		
Q9HCG8	57703	CWC22	MIF4G;MI	CWC22 family
Q9HCG7	57704	GBA2		Non-lysosomal glucosylceramidase family
Q6ZS81	57705	WDFY4	BEACH-type PH;BEACH	
Q8TEH3	57706	DEN1A	uDENN;cDENN;dDENN	
Q6P9B6	57707	MEAK7	TLDc	
Q8N108	57708	MIER1	ELM2;SANT	
Q8TBB6	57709	S7A14		Amino acid-polyamine-organocation (APC) superfamily, Cationic amino acid transporter (CAT) (TC 2.A.3.3) family
Q6P280	57711	ZN529	KRAB	Krueppel C2H2-type zinc-finger protein family
Q5VUG0	57713	SMBT2	SAM	
Q9NTN9	57715	SEM4G	Sema;PSI;Ig-like C2-type	Semaphorin family
Q9BXM0	57716	PRAX	PDZ	Periaxin family
Q6NUP7	57718	PP4R4		
Q9HCE9	57719	ANO8		Anoctamin family
Q5VW38	57720	GP107		LU7TM family
Q9HCE5	57721	MET14		MT-A70-like family
Q8TDY8	57722	IGDC4	Ig-like C2-type 1;Ig-like C2-type 2;Ig-like C2-type 3;Ig-like C2-type 4;Fibronectin type-III 1;Fibronectin type-III 2;Fibronectin type-III 3;Fibronectin type-III 4;Fibronectin type-III 5	Immunoglobulin superfamily, DCC family
Q9HCE0	57724	EPG5		EPG5 family
Q9HCD5	57727	NCOA5		
Q8NEZ3	57728	WDR19		
Q8N2N9	57730	AN36B		ANKRD36 family
Q9H254	57731	SPTN4	Calponin-homology (CH) 1;Calponin-homology (CH) 2;PH	Spectrin family
Q9HCC9	57732	LST2		Lst-2 family
Q9H227	57733	GBA3		Glycosyl hydrolase 1 family, Klotho subfamily
Q9NQ36	57758	SCUB2	EGF-like ;EGF-like ;EGF-like ;EGF-like 4;EGF-like 5;EGF-like 6;EGF-like ;EGF-like ;EGF-like ;CUB	
Q96RU7	57761	TRIB3	Protein kinase	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, Tribbles subfamily
Q9H9E1	57763	ANRA2		
Q9NYW8	57786	RBAK	KRAB	Krueppel C2H2-type zinc-finger protein family
Q96L34	57787	MARK4	Protein kinase;UBA;KA1	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, SNF1 subfamily
Q8IWZ8	57794	SUGP1	G-patch	
Q8WUU5	57798	GATD1		
Q96S21	57799	RB40C	SOCS box	Small GTPase superfamily, Rab family
Q9HCC6	57801	HES4	bHLH;Orange	
Q9HCU8	57804	DPOD4		DNA polymerase delta subunit 4 family
Q8N163	57805	CCAR2		
P81172	57817	HEPC		Hepcidin family
Q9Y333	57819	LSM2		SnRNP Sm proteins family
Q9NPC3	57820	CIP1		
Q5TID7	57821	CC181		CCDC181 family
Q8TE85	57822	GRHL3		Grh/CP2 family, Grainyhead subfamily
Q9NQ25	57823	SLAF7	Ig-like V-type;Ig-like C2-type	
Q9Y3L5	57826	RAP2C		Small GTPase superfamily, Ras family
O95873	57827	CF047		
Q6ZRH7	57828	CTSRG		CATSPERG family
Q12836	57829	ZP4	P-type;ZP	ZP domain family, ZPB subfamily
Q9HBI6	57834	CP4FB		Cytochrome P450 family
Q9BY07	57835	S4A5		Anion exchanger (TC 2.A.31) family
Q86VK4	57862	ZN410		
Q8N126	57863	CADM3	Ig-like V-type;Ig-like C2-type 1;Ig-like C2-type 2	Nectin family
Q9UKA9	58155	PTBP2	RRM 1;RRM 2;RRM 3;RRM 4	
Q9NPG2	58157	NGB		Globin family
Q9HD90	58158	NDF4	bHLH	
Q86UQ8	58160	NFE4		
Q9HC57	58189	WFDC1	WAP	
Q9GZU7	58190	CTDS1	FCP1 homology	
Q9H2A7	58191	CXL16		Intercrine alpha (chemokine CxC) family
Q9Y6N5	58472	SQOR		SQRD family
Q9UF11	58473	PKHB1	PH	
Q9GZW8	58475	MS4A7		MS4A family
Q8IXH6	58476	T53I2		
Q9Y5M8	58477	SRPRB		SRP receptor beta subunit family
Q9UHY7	58478	ENOPH		HAD-like hydrolase superfamily, MasA/MtnC family
Q7L0Q8	58480	RHOU		Small GTPase superfamily, Rho family
Q9NPP4	58484	NLRC4	CARD;NACHT	
Q9Y5R8	58485	TPPC1		TRAPP small subunits family, BET5 subfamily
Q49AG3	58486	ZBED5		
Q9NS37	58487	ZHANG	bZIP	BZIP family, ATF subfamily
Q9UKL6	58488	PPCT	START	
Q9NQG5	58490	RPR1B	CID	UPF0400 (RTT103) family
Q9NQZ8	58491	ZNF71		Krueppel C2H2-type zinc-finger protein family
Q9NRY2	58493	SOSSC		SOSS-C family
P57087	58494	JAM2	Ig-like V-type;Ig-like C2-type	Immunoglobulin superfamily
Q9BRP0	58495	OVOL2		Krueppel C2H2-type zinc-finger protein family
Q8NDX9	58496	LY65B	UPAR/Ly6	
Q86TP1	58497	PRUN1		PPase class C family, Prune subfamily
Q01449	58498	MLRA	EF-hand 1;EF-hand 2;EF-hand 3	
Q96JM2	58499	ZN462		
P15622	58500	ZN250	KRAB	Krueppel C2H2-type zinc-finger protein family
Q99935	58503	PROL1		PROL1/PROL3 family
Q7Z5H3	58504	RHG22	PH;Rho-GAP	
Q9NRP0	58505	OSTC		OSTC family
Q9H7N4	58506	SFR19		Splicing factor SR family
Q8NEZ4	58508	KMT2C	DHHC;FYR N-terminal;FYR C-terminal;SET;Post-SET	Class V-like SAM-binding methyltransferase superfamily, Histone-lysine methyltransferase family, TRX/MLL subfamily
Q8WUQ7	58509	CATIN		CACTIN family
Q8WZ79	58511	DNS2B		DNase II family
O95886	58512	DLGP3		SAPAP family
Q9UBC2	58513	EP15R	EH 1;EH 2;EF-hand;EH 3	
Q9Y6D0	58515	SELK		Selenoprotein K family
Q9NP50	58516	SHCAF		SINHCAF family
P49756	58517	RBM25	RRM;PWI	
Q9NQL9	58524	DMRT3		DMRT family
O95785	58525	WIZ		Krueppel C2H2-type zinc-finger protein family
Q9NPA3	58526	M1IP1		SPOT14 family
Q9P1F3	58527	ABRAL		Costars family
Q9NQL2	58528	RRAGD		GTR/RAG GTP-binding protein family
Q9NP98	58529	MYOZ1		Myozenin family
Q9UNH7	58533	SNX6	PX;BAR	Sorting nexin family
Q96JB8	58538	MPP4	L27 1;L27 2;PDZ;SH3;Guanylate kinase-like	MAGUK family
Q8N6P7	58985	I22R1	Fibronectin type-III 1;Fibronectin type-III 2	Type II cytokine receptor family
